所在吧	回复对象	回复内容	回复时间	贴子链接
最爱春雷	雷老师的理论是完全正确的	谢谢楼主理解肯定！	2022年11月23日 11时32分07秒	https://tieba.baidu.com/p/8155543856?fid=27779526&pid=146186401305&cid=0#146186401305
最爱春雷	@最爱春雷2021：关键问题：水力发电机把什么能量转化成了电能？	说“水力发电机是利用水的动能转化成电能的”都是无知的。	2022年11月23日 11时30分55秒	https://tieba.baidu.com/p/8155556054?fid=27779526&pid=146186391148&cid=0#146186391148
最爱春雷	@最爱春雷2021：关键问题：水力发电机把什么能量转化成了电能？	谢谢！纠缠的人都是无知的！	2022年11月23日 11时28分23秒	https://tieba.baidu.com/p/8155556054?fid=27779526&pid=146186391148&cid=0#146186369964
最爱春雷	我一直有个问题	因为是许多人纠缠我一个人！我一个人要应付许多人的纠缠。很多时候打完字没有检查就发出去了。 这是我粗心大意的错误。 真正有知有德的人是关注我的理论，是不会纠缠这些鸡毛蒜皮的问题的！	2022年11月23日 11时26分03秒	https://tieba.baidu.com/p/8119847068?fid=27779526&pid=146186350187&cid=0#146186350187
最爱春雷	我一直有个问题	回复 @ :需要看当时说话的上下环境。如果当时指出来，我会及时纠正的。	2022年11月23日 11时18分21秒	https://tieba.baidu.com/p/8119847068?fid=27779526&pid=146186350187&cid=0#146186284301
最爱春雷	我一直有个问题	纠缠的都是无赖表现！ 已经解释过了：这是我选字时出现的错误。 “物体错误”是指出某些人“问题错误”， “物质无赖”是指出某些人“无知无赖”， “理论无德”可能是指出某些人“历来无德”。 纠缠的都是无赖表现！	2022年11月23日 09时32分18秒	https://tieba.baidu.com/p/8119847068?fid=27779526&pid=146186350187&cid=0#146185446084
最爱春雷	@巴萨等你复兴：关键问题：电流是由什么构成的？	回复 @ :遇到用电器就有电势下降，电势能减少，不知道？；用电器后面的电荷当然不变吗？还能不能流动呢？	2022年11月23日 11时05分10秒	https://tieba.baidu.com/p/8151921051?fid=27779526&pid=146186171407&cid=0#146186171407
最爱春雷	@巴萨等你复兴：关键问题：电流是由什么构成的？	回复 @ :电子沿导线流动，电势能在什么地方下降，在什么地方消失？电荷量不变，还是电荷，这电荷与用电器前的电荷一样吗?能流动吗？还叫电流吗？	2022年11月23日 10时52分44秒	https://tieba.baidu.com/p/8151921051?fid=27779526&pid=146186171407&cid=0#146186068866
最爱春雷	@巴萨等你复兴：关键问题：电流是由什么构成的？	巴萨等你复兴在15楼回复 最爱春雷2021说 :雷绍武还是理解不了为什么用电器消耗电能不会损耗电荷 @巴萨等你复兴： 问题3:为什么“用电器消耗电能不会损耗电荷”？ 电荷没有电能了，还是电荷吗？为什么？	2022年11月23日 10时28分50秒	https://tieba.baidu.com/p/8151921051?fid=27779526&pid=146186171407&cid=0#146185876013
最爱春雷	@巴萨等你复兴：关键问题：电流是由什么构成的？	回复 @ :意思是：电荷的电能不会被用电器消耗？	2022年11月22日 12时15分30秒	https://tieba.baidu.com/p/8151921051?fid=27779526&pid=146186171407&cid=0#146177691997
最爱春雷	@巴萨等你复兴：关键问题：电流是由什么构成的？	回复 @ :错误的！：河水流过发电机，是水的动能转化为电能的吗？ 江河大海水的动能不少吧，什么时候转化为电能了？	2022年11月22日 12时13分40秒	https://tieba.baidu.com/p/8151921051?fid=27779526&pid=146186171407&cid=0#146177678875
最爱春雷	永远支持雷老师（一）（原创）	吧主和管理人员是看不见，还是没有道德标准判断“日落乃自然定理: 雷老狗进盒”是人渣垃圾表现？	2022年11月23日 11时00分45秒	https://tieba.baidu.com/p/8155496265?fid=27779526&pid=146186135498&cid=0#146186135498
最爱春雷	永远支持雷老师（一）（原创）	谢谢楼主关心理解支持！	2022年11月23日 09时52分34秒	https://tieba.baidu.com/p/8155496265?fid=27779526&pid=146186135498&cid=0#146185595905
最爱春雷	再问雷老师一个问题	回复 @ :电磁粒子可数吗？你是怎样数的？	2022年11月23日 10时55分39秒	https://tieba.baidu.com/p/8154410713?fid=27779526&pid=146186093981&cid=0#146186093981
最爱春雷	再问雷老师一个问题	纠缠有多少电磁粒子的人都是无知的！不知道电磁粒子是不可数的！只有在分子式，化学反应方程式中可以用符号表示！	2022年11月23日 10时08分54秒	https://tieba.baidu.com/p/8154410713?fid=27779526&pid=146186093981&cid=0#146185719102
最爱春雷	再问雷老师一个问题	不是我的理论问题！不解答！	2022年11月22日 12时04分28秒	https://tieba.baidu.com/p/8154410713?fid=27779526&pid=146186093981&cid=0#146177610809
最爱春雷	我现在告诉雷老师，大事不好了！	谢谢理解肯定！	2022年11月23日 10时41分42秒	https://tieba.baidu.com/p/8154496331?fid=27779526&pid=146185978387&cid=0#146185978387
最爱春雷	我现在告诉雷老师，大事不好了！	墨瑟博士对雷绍武的宣战词是什么内容？ 会证明他的无知的	2022年11月23日 10时29分45秒	https://tieba.baidu.com/p/8154496331?fid=27779526&pid=146185978387&cid=0#146185883366
最爱春雷	支持雷氏理论发扬光大，严惩无知无德无赖人员！	谢谢楼主！请多多理解支持！	2022年11月23日 10时38分41秒	https://tieba.baidu.com/p/8152316041?fid=27779526&pid=146185954064&cid=0#146185954064
最爱春雷	请教雷老师一个关于运动力的问题	回复 @ :谢谢关注！理解才好！	2022年11月23日 10时36分14秒	https://tieba.baidu.com/p/8154280151?fid=27779526&pid=146185934495&cid=0#146185934495
最爱春雷	看看枪打雷老师	说得对！谢谢！	2022年11月23日 10时18分22秒	https://tieba.baidu.com/p/8154732403?fid=27779526&pid=146185793255&cid=0#146185793255
最爱春雷	看看雷老师袭击人类！	说得对！谢谢理解肯定！	2022年11月23日 10时10分30秒	https://tieba.baidu.com/p/8154544483?fid=27779526&pid=146185731552&cid=0#146185731552
最爱春雷	拙译咏雷又一首	已经收录！编入咏雷·一六四八。	2022年11月23日 10时00分02秒	https://tieba.baidu.com/p/8155073835?fid=27779526&pid=146185651467&cid=0#146185651467
最爱春雷	拙译咏雷又一首	谢谢楼主转发！谢谢作者 Kami Narisaru理解肯定！谢谢咏雷又一首！	2022年11月23日 09时56分23秒	https://tieba.baidu.com/p/8155073835?fid=27779526&pid=146185651467&cid=0#146185623979
最爱春雷	已知图中有一位是雷老师	@吧主和管理人员：不知道这是辱骂攻击吗？应该怎样处理？	2022年11月23日 09时50分29秒	https://tieba.baidu.com/p/8155314762?fid=27779526&pid=146185580635&cid=0#146185580635
最爱春雷	咏雷·如果你是人	谢谢！已经原诗收录。就小改最后一句：就不要做反雷的垃圾和人渣！编入咏雷·一六四七。	2022年11月23日 09时47分42秒	https://tieba.baidu.com/p/8154289598?fid=27779526&pid=146185559516&cid=0#146185559516
最爱春雷	咏雷·如果你是人	回复 @ :是“***渣”，被屏蔽了的。	2022年11月22日 13时13分24秒	https://tieba.baidu.com/p/8154289598?fid=27779526&pid=146185559516&cid=0#146178118062
最爱春雷	咏雷·如果你是人	回复 @ :是“***渣”，被屏蔽了的。	2022年11月22日 13时12分44秒	https://tieba.baidu.com/p/8154289598?fid=27779526&pid=146185559516&cid=0#146178113029
最爱春雷	雷老师朗诵《咏猴》	吧主和管理人员看看！能允许这些无知无赖的人胡编乱造吗？	2022年11月23日 09时19分09秒	https://tieba.baidu.com/p/8155253141?fid=27779526&pid=146185353639&cid=0#146185353639
最爱春雷	雷氏生物学新理论	不了解！	2022年11月22日 13时29分02秒	https://tieba.baidu.com/p/8152374177?fid=27779526&pid=146178234013&cid=0#146178234013
最爱春雷	反雷的认真理解太多了（原创）	谢谢楼主理解关心！	2022年11月22日 13时21分31秒	https://tieba.baidu.com/p/8154439694?fid=27779526&pid=146178178303&cid=0#146178178303
最爱春雷	雷绍武诱捕器（原创）	吧主和管理人员看不出来层主是辱骂攻击？！	2022年11月22日 12时01分29秒	https://tieba.baidu.com/p/8154299165?fid=27779526&pid=146177588830&cid=0#146177588830
最爱春雷	雷绍武诱捕器（原创）	吧主和管理人员看不出来楼主是：污蔑诽谤攻击辱骂的人渣垃圾表现吗？	2022年11月22日 11时59分03秒	https://tieba.baidu.com/p/8154299165?fid=27779526&pid=146177588830&cid=0#146177570803
最爱春雷	雷绍武，请问你怀念我爷爷吗	你不知道这是太差太差的问题吗？你爷爷叫什么名字？难道当年和我共过事的都是你爷爷吗？？	2022年11月22日 11时54分10秒	https://tieba.baidu.com/p/8154295820?fid=27779526&pid=146177533358&cid=0#146177533358
最爱春雷	咏雷·如果你是人	谢谢楼主咏雷！ 补充一句主题会更明确！ 如果你是人， 就应该能分清零线和火线！ 如果你是人， 就不会把你爷爷连在电路中间！ 如果你是人， 就应该学会说人话！ 如果你是人， 就不应该表现出垃圾和人渣！ 啊！原来，原来， 那些反雷的都是***渣！ 这样好吗？	2022年11月22日 11时49分31秒	https://tieba.baidu.com/p/8154289598?fid=27779526&pid=146177496990&cid=0#146177496990
最爱春雷	揭露雷绍武的本性（预告）	回复 @ :把前后完整的内容拿出来看看？	2022年11月22日 11时16分45秒	https://tieba.baidu.com/p/8153067080?fid=27779526&pid=146177234609&cid=0#146177234609
最爱春雷	揭露雷绍武的本性（预告）	谢谢吧主仗义执言！	2022年11月22日 11时15分34秒	https://tieba.baidu.com/p/8153067080?fid=27779526&pid=146177234609&cid=0#146177224917
最爱春雷	揭露雷绍武的本性（预告）	楼主不敢在理论是有理有据讨论，一贯空穴来风，断章取义，无中生有的编造谎言，篡改我的视频讲话内容，污蔑诽谤，攻击辱骂，罄竹难书！ 相信世界上有知有德的有识之士是会支持真理，明辨是非的！他们一定能够看清楚楼主等人的丑恶面目和险恶用心！	2022年11月22日 11时03分07秒	https://tieba.baidu.com/p/8153067080?fid=27779526&pid=146177234609&cid=0#146177124428
最爱春雷	揭露雷绍武的本性（预告）	层主说得对！谢谢层主仗义执言！理解肯定！	2022年11月22日 10时52分22秒	https://tieba.baidu.com/p/8153067080?fid=27779526&pid=146177234609&cid=0#146177037732
最爱春雷	揭露雷绍武的本性（预告）	谢谢仗义执言！谢谢理解肯定！	2022年11月22日 10时50分21秒	https://tieba.baidu.com/p/8153067080?fid=27779526&pid=146177234609&cid=0#146177021996
最爱春雷	揭露雷绍武的本性（预告）	谢谢仗义执言！谢谢理解肯定！	2022年11月22日 10时49分24秒	https://tieba.baidu.com/p/8153067080?fid=27779526&pid=146177234609&cid=0#146177014526
最爱春雷	请教雷老师一个关于运动力的问题	匀速圆周运动的运动力是指向运动方向的。	2022年11月22日 11时10分54秒	https://tieba.baidu.com/p/8154280151?fid=27779526&pid=146177186999&cid=0#146177186999
最爱春雷	@巴萨等你复兴：关键问题：电流是由什么构成的？	回复 @ :是怎样消耗电荷电能的？	2022年11月22日 11时09分04秒	https://tieba.baidu.com/p/8151921051?fid=27779526&pid=146177172367&cid=0#146177172367
最爱春雷	@巴萨等你复兴：关键问题：电流是由什么构成的？	回复 @ :如果电荷没有电能叫电荷吗？	2022年11月22日 11时07分33秒	https://tieba.baidu.com/p/8151921051?fid=27779526&pid=146177172367&cid=0#146177160045
最爱春雷	@巴萨等你复兴：关键问题：电流是由什么构成的？	回复 @ : 电荷守恒定律问题下次讨论。	2022年11月22日 10时36分36秒	https://tieba.baidu.com/p/8151921051?fid=27779526&pid=146177172367&cid=0#146176913482
最爱春雷	@巴萨等你复兴：关键问题：电流是由什么构成的？	回复 @ :问的是：用电器消耗的是什么？	2022年11月22日 10时34分53秒	https://tieba.baidu.com/p/8151921051?fid=27779526&pid=146177172367&cid=0#146176899987
最爱春雷	@巴萨等你复兴：关键问题：电流是由什么构成的？	@巴萨等你复兴14楼的回复:不消耗啊， 为什么不消耗电荷？用电器消耗的是什么？	2022年11月22日 09时58分49秒	https://tieba.baidu.com/p/8151921051?fid=27779526&pid=146177172367&cid=0#146176625249
最爱春雷	@巴萨等你复兴：关键问题：电流是由什么构成的？	关键问题：电流是由什么构成的？ 巴萨等你复兴回复：电荷的定向移动形成电流。 第二问@巴萨等你复兴：用电器是否消耗电荷？	2022年11月22日 08时35分44秒	https://tieba.baidu.com/p/8151921051?fid=27779526&pid=146177172367&cid=0#146176068645
最爱春雷	一个问题！	我反对的是那些传统理论中的错误理论！是他们在几百年前认知条件下的产物！ 雷老师的雷氏力学在若干年后，如果有更新更好的理论取代，当然是进步，是好事。但是，这种可比性很小很小。	2022年11月22日 10时21分21秒	https://tieba.baidu.com/p/8152220848?fid=27779526&pid=146176796213&cid=0#146176796213
最爱春雷	初中电学实验打脸雷绍武（六）（原创）	回复 @ :能证明灯泡是不消耗电能的吗？	2022年11月22日 10时07分35秒	https://tieba.baidu.com/p/8149686875?fid=27779526&pid=146176690434&cid=0#146176690434
最爱春雷	翻译咏雷诗一首	谢谢楼主翻译转发咏雷诗一首！ 谢谢原作者 Onaka Itai的理解肯定！ 已经收录。编入咏雷·一六四六。 谢谢！	2022年11月22日 08时47分05秒	https://tieba.baidu.com/p/8154185432?fid=27779526&pid=146176135152&cid=0#146176135152
中科院	论“电流回路理论”的绝对错误（原创）	无知无赖表现！ 一节1.5v的电池能突然发出强光吗？能释放高热吗？能将你的手烧伤吗？！ 把视频拿出来看看？ 证明：层主是无知的！无理取闹的！	2022年11月21日 10时33分52秒	https://tieba.baidu.com/p/8148040020?fid=4575&pid=146167994552&cid=0#146167994552
中科院	论“电流回路理论”的绝对错误（原创）	谢谢理解肯定！	2022年11月21日 10时29分11秒	https://tieba.baidu.com/p/8148040020?fid=4575&pid=146167994552&cid=0#146167957744
物理理论	（二十三）电源，电磁粒子，电流，电压，导线，用电器，电阻的本	无理取闹的垃圾表现！	2022年11月21日 10时20分45秒	https://tieba.baidu.com/p/8018417191?fid=923873&pid=146167891779&cid=0#146167891779
物理理论	（二十三）电源，电磁粒子，电流，电压，导线，用电器，电阻的本	回复 @ :哪一句是胡说八道，漏洞百出的？	2022年11月21日 10时20分03秒	https://tieba.baidu.com/p/8018417191?fid=923873&pid=146167891779&cid=0#146167886067
物理理论	（三十三）裂变中的链式反应是错误的（原创）	垃圾表现！	2022年11月21日 10时17分41秒	https://tieba.baidu.com/p/8047472037?fid=923873&pid=146167867200&cid=0#146167867200
物理理论	（三十五）原子弹，氢弹爆炸的原理是什么（原创）	明白需要智商！	2022年11月21日 10时16分28秒	https://tieba.baidu.com/p/8056195555?fid=923873&pid=146167857714&cid=0#146167857714
物理理论	咏雷·一六三0	人渣垃圾表现！	2022年11月21日 10时14分36秒	https://tieba.baidu.com/p/8065898221?fid=923873&pid=146167843032&cid=0#146167843032
物理理论	关于暗物质与暗能量现象的引力解释（论文）	错误的！不存在暗物质与暗能量。	2022年11月21日 10时13分26秒	https://tieba.baidu.com/p/8096151440?fid=923873&pid=146167833857&cid=0#146167833857
物理理论	为什么一个高中生遇到不寻常事首先怀疑鬼怪	知识浅薄的原因。	2022年11月21日 10时10分34秒	https://tieba.baidu.com/p/8097815796?fid=923873&pid=146167811946&cid=0#146167811946
物理理论	光电热本质相同	光电热是完全不相同的三个概念。其本质是电能热能的转化问题。	2022年11月21日 10时09分00秒	https://tieba.baidu.com/p/8100164902?fid=923873&pid=146167799600&cid=0#146167799600
物理理论	（三十一）再论原子理论的错误（原创）	回复 @ :无知无赖表现！	2022年11月21日 10时03分55秒	https://tieba.baidu.com/p/8036365199?fid=923873&pid=146167760832&cid=0#146167760832
物理理论	（三十一）再论原子理论的错误（原创）	明白需要智商！不勉强！	2022年11月21日 10时02分34秒	https://tieba.baidu.com/p/8036365199?fid=923873&pid=146167760832&cid=0#146167750690
物理理论	论“电流回路理论”的绝对错误（原创）	无知无德无赖表现！	2022年11月21日 10时00分57秒	https://tieba.baidu.com/p/8148038855?fid=923873&pid=146167737558&cid=0#146167737558
物理理论	论“电流回路理论”的绝对错误（原创）	无知无赖的表现！	2022年11月21日 10时00分01秒	https://tieba.baidu.com/p/8148038855?fid=923873&pid=146167737558&cid=0#146167730870
物理理论	论“电流回路理论”的绝对错误（原创）	这就是无知无德无耻无赖的人渣表现！愚昧无知的，不知道这整个线路都是连接在火线零线之间的！	2022年11月21日 09时58分55秒	https://tieba.baidu.com/p/8148038855?fid=923873&pid=146167737558&cid=0#146167722832
物理理论	运动力L=kmv是物体运动需要的力（原创）	回复 @ :说过无数次：K=每秒=1/秒	2022年11月21日 09时55分25秒	https://tieba.baidu.com/p/8120744350?fid=923873&pid=146167696717&cid=0#146167696717
最爱春雷	@巴萨等你复兴：关键问题：电流是由什么构成的？	电荷是什么？为什么能够定向移动？	2022年11月20日 16时56分58秒	https://tieba.baidu.com/p/8151921051?fid=27779526&pid=146161980103&cid=0#146161980103
最爱春雷	咏雷·一六四四	回复 @ :无所不至，读音wú suǒ bù zhì，意思是指没有达不到的地方。	2022年11月20日 16时51分41秒	https://tieba.baidu.com/p/8145408784?fid=27779526&pid=146161940628&cid=0#146161940628
最爱春雷	咏雷·一六四四	5楼的错误太多！ 反雷电子都是一群无知无德的管科奴才，其攻击雷老师的一切言论都是无耻谰言！ 反雷电子面对正确的雷氏力学往往表现出愚不可及，对雷老师毫不尊重！ 反雷电子的所有反对雷氏力学的言论都是无知无赖的，无论是其文，还是反雷诗词。我们的雷老师却与反雷电子完全不同，能做到有理有据与反雷分子对抗，并在每一次辩论中以理服人，致使反雷电子完全无法有效反击。 我们的雷老师尽管年事已高，但仍然诲人不倦，在每个领域都无所不至。 由此观之，反雷的电子的无理纠缠是站不住脚的，雷老师一定能打败管科！	2022年11月20日 09时55分46秒	https://tieba.baidu.com/p/8145408784?fid=27779526&pid=146161940628&cid=0#146158920454
最爱春雷	咏雷·一六四四	谢谢鼓励！共同奋斗！	2022年11月20日 09时42分04秒	https://tieba.baidu.com/p/8145408784?fid=27779526&pid=146161940628&cid=0#146158830324
最爱春雷	咏雷·一六四四	谢谢理解肯定！	2022年11月20日 09时41分07秒	https://tieba.baidu.com/p/8145408784?fid=27779526&pid=146161940628&cid=0#146158824116
最爱春雷	希望雷老师发布更多视频资料传给后人（肺腑之言）	谢谢楼主关注，理解，肯定和支持！谢谢楼主转发一些国外雷力事迹！谢谢楼主向国外转发传播我的理论！ 楼主坚信：终究会有一天:人类在碰的头破血流后，肯定将科奴们亲手埋葬的“缪理”从“坟墓”里挖出来，到那时，雷氏理论会像他诞生之初一样闪闪发光，只不过那时他不会是某人某组织之独有，而是属于全人类的财富！ 这也是无数有智商的有识之士都坚信的！ 但是，就是我录制的讲解理论的视频资料，也被那些无德无耻无赖之徒恶意篡改了，到处传播！ 我只希望坚信我理论的有智商的有识之士名，在国内外广泛传播我的理论！让那些专家权威中还不完全是科奴的人，还有一点自己思维能力的人早日看到，早日醒悟，早日明白！这就是希望！ 雷氏理论是颠扑不破，放之四海而皆准的理论！总有一天会被世界人类会明白认可的！ 谢谢楼主肺腑之言！	2022年11月20日 16时25分13秒	https://tieba.baidu.com/p/8146129504?fid=27779526&pid=146161742679&cid=0#146161742679
最爱春雷	用电器前后的电流能够一样吗？	回复 @ :我认为是错误的！	2022年11月20日 15时52分55秒	https://tieba.baidu.com/p/8149630381?fid=27779526&pid=146161506301&cid=0#146161506301
最爱春雷	用电器前后的电流能够一样吗？	回复 @ : 电流是什么东西？通过用电器时不减少？	2022年11月20日 15时13分41秒	https://tieba.baidu.com/p/8149630381?fid=27779526&pid=146161506301&cid=0#146161214239
最爱春雷	用电器前后的电流能够一样吗？	雷绍武说过“并联的电压/串联的电流处处相等”吗？说过“并联的电流/串联的电压要相加”吗？不要胡说八道！	2022年11月20日 12时40分06秒	https://tieba.baidu.com/p/8149630381?fid=27779526&pid=146161506301&cid=0#146160103354
最爱春雷	用电器前后的电流能够一样吗？	谢谢理解肯定支持！	2022年11月20日 09时59分15秒	https://tieba.baidu.com/p/8149630381?fid=27779526&pid=146161506301&cid=0#146158943012
最爱春雷	用电器前后的电流能够一样吗？	谢谢理解肯定！	2022年11月20日 09时58分21秒	https://tieba.baidu.com/p/8149630381?fid=27779526&pid=146161506301&cid=0#146158937098
最爱春雷	用电器前后的电流能够一样吗？	谢谢理解肯定！	2022年11月20日 09时56分44秒	https://tieba.baidu.com/p/8149630381?fid=27779526&pid=146161506301&cid=0#146158926626
最爱春雷	初中电学实验打脸雷绍武（六）（原创）	回复 @ :电流大约0.13A的时候灯泡没有亮。这不是灯泡的耗电电流，亮时大于0.13A的电流才是灯泡耗电电流。	2022年11月20日 11时35分40秒	https://tieba.baidu.com/p/8149686875?fid=27779526&pid=146159631441&cid=0#146159631441
最爱春雷	初中电学实验打脸雷绍武（六）（原创）	回复 @ :答非所问啊！你应该用实验数据说话。	2022年11月20日 11时12分59秒	https://tieba.baidu.com/p/8149686875?fid=27779526&pid=146159631441&cid=0#146159464994
最爱春雷	初中电学实验打脸雷绍武（六）（原创）	电流大约0.13A的时候灯泡没有亮。 电流大约多少A的时候灯泡开始亮的？	2022年11月20日 10时31分33秒	https://tieba.baidu.com/p/8149686875?fid=27779526&pid=146159631441&cid=0#146159165505
最爱春雷	初中电学实验打脸雷绍武（六）（原创）	表达不清楚，不明白！ 灯泡前电流是多少？灯泡后电流是多少？没看见电流表指示！ 串联两个灯泡，看看灯泡前，灯泡之间，灯泡之后的电流是多少？	2022年11月19日 11时08分19秒	https://tieba.baidu.com/p/8149686875?fid=27779526&pid=146159631441&cid=0#146150401774
